Model,ROC AUC,Accuracy,Precision (Default),Recall (Default)
Logistic Regression,0.8788355814158512,0.8022829188748472,0.5471698113207547,0.7991111111111111
Random Forest,0.9430182491404391,0.9335507541785568,0.9524348810872028,0.7475555555555555
Best Random Forest,0.9451878103970144,0.9364044027721158,0.9572553430821147,0.7564444444444445
